수요지 id,X,Y,초등학령인구
C275,126.6415048,37.4767824,4
C276,126.6415048,37.48178239999999,62
C277,126.6425048,37.4707824,2
C278,126.6425048,37.4717824,2
C279,126.6425048,37.4747824,1
C280,126.6425048,37.4767824,2
C281,126.6425048,37.4777824,2
C282,126.6425048,37.48178239999999,50
C283,126.6435048,37.4707824,2
C284,126.6435048,37.4717824,1
C285,126.6435048,37.4727824,1
C286,126.6435048,37.4737824,4
C287,126.6445048,37.4807824,11
C288,126.6445048,37.48178239999999,72
C289,126.6455048,37.4717824,4
C290,126.6455048,37.4737824,4
C291,126.6475048,37.4707824,1
C292,126.6475048,37.4777824,2
C293,126.6485048,37.4757824,39
C294,126.6485048,37.4777824,1
C295,126.6485048,37.4807824,169
C296,126.6485048,37.48178239999999,4
C297,126.6495048,37.4697824,29
C298,126.6495048,37.4707824,1
C299,126.6495048,37.48178239999999,28
C300,126.6505048,37.4717824,6
C301,126.6505048,37.4727824,108
C302,126.6505048,37.48178239999999,12
C303,126.6515048,37.4767824,115
C304,126.6515048,37.4777824,31
C305,126.6515048,37.4797824,126
C306,126.6515048,37.48178239999999,2
C307,126.6515048,37.4827824,2
C308,126.6525048,37.4727824,12
C309,126.6525048,37.4797824,1
C310,126.6525048,37.4807824,1
C311,126.6525048,37.48178239999999,11
